epoch, train_ts_loss, test_ts_loss, train_df_loss, test_df_loss, forward_time, backward_time
0,0.4416015629584973,0.4272851095749782,-0.0810636065613765,-0.07664558406059559,2.2751569747924805,0.17306756973266602
1,0.34400475369049954,0.27772382818735564,-0.1413590694562747,-0.20253802033571097,2.130849838256836,0.1509227752685547
2,0.23911316348956183,0.2052904057961244,-0.2705748685850547,-0.3071435529452104,2.1061220169067383,0.14918255805969238
3,0.24867971270130232,0.24394491888009584,-0.3694436257848373,-0.39375704068403977,2.1158945560455322,0.14925456047058105
4,0.34210619043845397,0.36382662332974947,-0.43428422109438825,-0.44700308029468244,2.1225128173828125,0.15150237083435059
5,0.47838688297913623,0.5112907290458679,-0.46857040833968383,-0.4727792418920077,2.083331823348999,0.1490771770477295
6,0.612995289839231,0.6358977235280551,-0.4851618019434122,-0.48449825782042283,2.0376081466674805,0.14969229698181152
7,0.7257637943212802,0.7077981646244342,-0.49193305006394017,-0.4889438266937549,1.9876925945281982,0.14962434768676758
8,0.8141320049762726,0.8109572850740873,-0.4948201592151935,-0.49265788610164934,1.9934709072113037,0.14946794509887695
9,0.8763980865478516,0.8834692469009986,-0.49726680608896107,-0.4939107367625603,1.969031572341919,0.15091323852539062
10,0.9278065447623913,0.8895635054661677,-0.49770036339759827,-0.494256487259498,1.9829957485198975,0.15051651000976562
11,0.9716090731895887,0.9125850613300617,-0.49810166313098025,-0.4948259202333597,1.992440938949585,0.14961886405944824
12,1.0033551305532455,0.9426093284900372,-0.4983575957325789,-0.49550806559049165,1.996079444885254,0.14995384216308594
13,1.0299642578913615,0.9874279223955594,-0.4992675534807719,-0.49563906972224897,1.9725186824798584,0.15011954307556152
14,1.056200969677705,0.9953904702113225,-0.4985307426406787,-0.49566022937114423,1.9702470302581787,0.14980483055114746
15,1.0775592418817372,1.0322391390800476,-0.4985866185564261,-0.4958317830012395,1.9688866138458252,0.15079760551452637
16,1.0924247319881732,1.0416502448228688,-0.4992221100972249,-0.49637027887197643,1.9278876781463623,0.1495985984802246
17,1.1099170125447786,1.0587769746780396,-0.4989707303734926,-0.4964948250697209,1.966726303100586,0.15027523040771484
18,1.1237917680006762,1.0793435665277333,-0.4989448848825235,-0.4963358755295093,1.9661290645599365,0.15104389190673828
19,1.1344682230399206,1.0672171803621144,-0.49907937015478426,-0.496588606100816,1.950348138809204,0.14982151985168457
