epoch, train_ts_loss, test_ts_loss, train_df_loss, test_df_loss, forward_time, backward_time
0,0.5057598220614287,0.4696293083521036,-0.07332291955558154,-0.06618435852802716,6.622827768325806,0.490919828414917
1,0.4003311584775264,0.3047585579065176,-0.11666723870887206,-0.16117645226992094,6.264286756515503,0.46291232109069824
2,0.266551336989953,0.22405409812927246,-0.22880407623373544,-0.27281654798067534,6.242052793502808,0.4665980339050293
3,0.27242700497691447,0.28560237930371213,-0.3429888028364915,-0.3744158882361192,6.175410032272339,0.46507763862609863
4,0.3988714510431656,0.42158724711491513,-0.42642027827409595,-0.43916661464251006,6.238616704940796,0.4702472686767578
5,0.5743109652629266,0.5961416455415579,-0.46932579233096194,-0.4706497605030353,6.34628701210022,0.47240686416625977
6,0.7321551808944116,0.721166743681981,-0.48691133237802064,-0.48325997591018677,6.3491575717926025,0.4737119674682617
7,0.8537463648961141,0.8251616404606745,-0.49299399841290253,-0.4882218149992136,6.416837930679321,0.5148661136627197
8,0.942625662455192,0.9248761305442224,-0.496382936835289,-0.4917897650828728,6.229686260223389,0.4623141288757324
9,1.0131934445637922,0.9755267821825467,-0.49838546090401137,-0.49300460861279416,6.302328824996948,0.4692964553833008
10,1.0702827183099894,1.0079880356788635,-0.4988679266892947,-0.4939506810445052,6.143778562545776,0.4635176658630371
11,1.1145678758621216,1.0541231219585125,-0.49999868124723434,-0.4946419871770419,6.299621343612671,0.47341418266296387
12,1.1502990883130293,1.0792889457482557,-0.4999320776416705,-0.4950048006497897,6.199114799499512,0.46728944778442383
13,1.1845311637108142,1.1062948245268602,-0.4999132316846114,-0.49563079384657055,6.105156183242798,0.4644036293029785
14,1.2085450475032513,1.1748356452355018,-0.5005931636461844,-0.4956461672599499,6.194551706314087,0.4691355228424072
15,1.2341267764568329,1.1716298873607929,-0.5005068245988625,-0.495944266135876,6.2075910568237305,0.4682731628417969
16,1.2558766947342799,1.192897549042335,-0.5001763248672852,-0.4957553675541511,6.101232051849365,0.4621591567993164
17,1.2724440808479602,1.199526915183434,-0.5008607695882137,-0.49607089849618763,6.254117250442505,0.4718589782714844
18,1.2904840914102702,1.2032298674950233,-0.5003751711203501,-0.4961499273777008,6.076762914657593,0.46196889877319336
19,1.30405089029899,1.2325347020075872,-0.5010916797014383,-0.4962211434657757,6.229763031005859,0.4849250316619873
