epoch, train_ts_loss, test_ts_loss, train_df_loss, test_df_loss, forward_time, backward_time
0,0.5047198075514573,0.48266947727936965,-0.08484675864187571,-0.07899081535064258,23.328411102294922,1.7526402473449707
1,0.4098154976963997,0.32041531571975124,-0.12495761192761935,-0.16459021889246428,22.70285153388977,1.7207167148590088
2,0.2890081921449074,0.2521826854118934,-0.22915994089383346,-0.27389809489250183,22.17554259300232,1.7259814739227295
3,0.30579199298070026,0.31929518167789167,-0.34214406173962814,-0.37690184208062977,22.167417526245117,1.7356760501861572
4,0.45479446534927076,0.5014487023536975,-0.4271820451204593,-0.44538896129681516,22.204782009124756,1.7805213928222656
5,0.6510214839990323,0.6813542338517996,-0.4703186544088217,-0.4754352867603302,22.173343896865845,1.7834539413452148
6,0.8212376305690179,0.80262435399569,-0.48676247894763947,-0.4863683879375458,22.01944613456726,1.7341179847717285
7,0.9460140558389517,0.903696202314817,-0.4931028244587091,-0.4917747172025534,22.00502896308899,1.7124011516571045
8,1.0412769810511515,0.9851060280433068,-0.49586293960993105,-0.49432864785194397,22.30039882659912,1.727858304977417
9,1.116012772688499,1.0320449150525606,-0.49773477533688915,-0.4956270089516273,22.12115788459778,1.7449924945831299
10,1.175451792203463,1.0927008207027729,-0.49833204367986095,-0.49699341792326707,22.2316255569458,1.7328612804412842
11,1.2250095353676722,1.144525876412025,-0.4987831637263298,-0.4964763888945946,22.55266571044922,1.8086168766021729
12,1.2652710653268373,1.1686885081804717,-0.4992299893727669,-0.4981485467690688,22.141378164291382,1.7305245399475098
13,1.3016767455981328,1.2227025765639086,-0.4992963889470467,-0.4986581985767071,21.995657682418823,1.7282695770263672
14,1.3337149918079376,1.2260617201144879,-0.4994260978240233,-0.4988330121223743,21.91338586807251,1.734804391860962
15,1.3578288509295537,1.2759042519789476,-0.4997815747673695,-0.49920966762762803,22.11603283882141,1.7533025741577148
16,1.3831504445809584,1.2802482751699595,-0.49953856147252595,-0.4991655258031992,22.103618144989014,1.7249441146850586
17,1.3994684288134942,1.2892908224692712,-0.4997783274604724,-0.49942524845783526,22.24941086769104,1.7457098960876465
18,1.423050364622703,1.3000096266086285,-0.5000574823755485,-0.49968178226397586,22.056787490844727,1.7919750213623047
19,1.439012919480984,1.3339361594273493,-0.5002226984271636,-0.4997126987347236,22.07033658027649,1.7346270084381104
