epoch, train_loss, test_loss, forward_time, backward_time
0,0.4314573471546173,0.43119676955162534,108.89022445678711,4.541486978530884
1,0.42891597306728363,0.42616371692173066,113.3307945728302,5.87948203086853
2,0.42383373379707334,0.42130770948198104,178.00146102905273,9.864932537078857
3,0.418835857629776,0.41656359651732067,208.36362290382385,12.34179949760437
4,0.41397393453121184,0.4119602536398267,141.70571756362915,6.389935493469238
5,0.40924182200431825,0.4074632818736727,130.0282425880432,5.946490049362183
6,0.404661906003952,0.40308150696376016,140.865727186203,6.300885915756226
7,0.4001965247392654,0.3987550300265115,143.02305245399475,6.3795671463012695
8,0.39583681988716124,0.39447953682097175,134.467346906662,6.5932776927948
9,0.3915445822477341,0.3902972449385931,100.87011528015137,3.331636667251587
10,0.3873192570209503,0.38617615520008025,117.38472819328308,4.193387985229492
11,0.38316993844509123,0.3821481229766967,87.10953378677368,2.6327638626098633
12,0.37912440299987793,0.37823934261761016,92.16021132469177,3.320755958557129
13,0.3751786285638809,0.3743832612794543,104.80928754806519,3.5866737365722656
14,0.3713129509687424,0.37058066659503514,104.39481997489929,3.542937994003296
15,0.3675110026597977,0.36685768905140104,94.24846386909485,2.7951438426971436
16,0.36377685034275054,0.36320477487548947,91.63968896865845,3.068328857421875
17,0.36011083698272706,0.35962430352256414,95.17390465736389,2.8354244232177734
18,0.3565113240480423,0.3560789113953,93.07892632484436,2.8242852687835693
19,0.35298052644729616,0.3525694495155698,102.19011688232422,3.327260971069336
