epoch, train_ts_loss, test_ts_loss, train_df_loss, test_df_loss, forward_time, backward_time
0,0.4832286834716797,0.4592228806935824,-0.0680897212945498,-0.06131514563010289,5.371243953704834,2.5718042850494385
1,0.41584147340976274,0.38557644532277036,-0.15422081259580758,-0.2236457753639955,5.363976716995239,2.5427896976470947
2,0.3552012013701292,0.2874732487476789,-0.28663529398349613,-0.31288206806549657,5.362241744995117,2.5389750003814697
3,0.3056886729139548,0.28531726277791536,-0.3680726748246413,-0.38555258970994216,5.576059579849243,2.5462734699249268
4,0.3327109767840459,0.32144052936480594,-0.42291192825023943,-0.4326328703990349,5.465255260467529,2.5540566444396973
5,0.3995006571595485,0.4129883096768306,-0.4569716505133189,-0.4602360289830428,5.860020875930786,2.5440196990966797
6,0.4993106178366221,0.5332507605736072,-0.477093752187032,-0.4777928865872897,5.442486524581909,2.5377793312072754
7,0.6079695144524941,0.6358009485098032,-0.4879675301221701,-0.48624361478365385,5.51333212852478,2.52062726020813
8,0.707430097919244,0.7120561232933631,-0.493716598703311,-0.49050958110735965,5.461032867431641,2.515573263168335
9,0.7838512704922602,0.7804102164048415,-0.497368465249355,-0.4924871073319362,6.089292049407959,2.5630626678466797
10,0.8463387993665842,0.8503515078471258,-0.49761439057496876,-0.49296282117183393,5.440361976623535,2.54982852935791
11,0.887613988839663,0.8966326805261465,-0.4982548172657306,-0.49402888463093686,5.439095497131348,2.5585780143737793
12,0.9243561579630926,0.8887022687838628,-0.4975522899856934,-0.4936789274215698,5.667483329772949,2.5100154876708984
13,0.9485021153321633,0.9172998391664945,-0.4993859758743873,-0.49416900139588577,5.503763437271118,2.53877592086792
14,0.9689811892234362,0.9380950239988474,-0.4998085109087137,-0.4942013392081627,5.485920190811157,2.5094192028045654
15,0.9837484611914709,0.94134665452517,-0.5001512215687678,-0.4946657854777116,5.468469858169556,2.510279417037964
16,1.0015605229597826,0.9737365566767179,-0.499948130777249,-0.4943595895400414,5.548316955566406,2.5064351558685303
17,1.01447605742858,0.9522422873056852,-0.4998764091959366,-0.49406392528460574,5.529137134552002,2.5095324516296387
18,1.027559499327953,1.0082930876658514,-0.49932281329081607,-0.49463290434617263,5.5820605754852295,2.498154640197754
19,1.0324205653025553,1.0099025506239672,-0.500987769319461,-0.49489421798632693,5.444359302520752,2.504183530807495
