epoch, train_ts_loss, test_ts_loss, train_df_loss, test_df_loss, forward_time, backward_time
0,0.5057598220614287,0.4696293083521036,-0.07320950911022149,-0.06618435852802716,8.995527744293213,3.5414700508117676
1,0.400793025126824,0.3052447277766008,-0.11635706659692985,-0.16052399346461663,8.747575998306274,3.55499267578125
2,0.26700777445848173,0.2244072430408918,-0.2283136901947168,-0.27224421959656936,8.621997594833374,3.585479497909546
3,0.2725821395332997,0.28438360415972197,-0.3426728695631027,-0.3734957461173718,9.064363479614258,3.659381628036499
4,0.3980342751512161,0.42218329356266904,-0.4261995049623343,-0.4391753604778877,9.16464614868164,3.6701691150665283
5,0.573085599220716,0.5881308592282809,-0.4690739793273119,-0.4699510886118962,9.091648817062378,3.562000274658203
6,0.7302165157519854,0.7150403169485239,-0.4866008855975591,-0.48279454387151277,9.215244054794312,3.5464234352111816
7,0.85249845798199,0.8220883149367112,-0.4927304914364448,-0.4880482302262233,9.22997260093689,3.57832932472229
8,0.9410886500890439,0.9219655027756324,-0.49616724997758865,-0.49168737118060774,9.232980728149414,3.5180883407592773
9,1.0108645512507513,0.9762679613553561,-0.4981815551335995,-0.493045469889274,9.444443941116333,3.629673719406128
10,1.0697263181209564,1.002350472486936,-0.4986863898543211,-0.49394333821076614,9.186866283416748,3.5003294944763184
11,1.1129753360381494,1.050142003939702,-0.4998710361810831,-0.49461225592173064,9.317081928253174,3.6287267208099365
12,1.1483581960201263,1.0750943605716412,-0.49983365203325564,-0.49498937450922453,9.15871262550354,3.486670970916748
13,1.182310312986374,1.1016864226414607,-0.4998163185440577,-0.4956571551469656,9.043306827545166,3.4503285884857178
14,1.2071264019379249,1.1664766256625836,-0.5005167671121084,-0.49566234992100644,9.024019002914429,3.4889471530914307
15,1.231326176570012,1.1639399253405058,-0.5007032866661365,-0.4959598481655121,9.165905952453613,3.439950466156006
16,1.254401261989887,1.1920412687154918,-0.5001092765193719,-0.4958258523390843,9.012370347976685,3.533475875854492
17,1.2706311688973353,1.2008706789750319,-0.5007998943328857,-0.4961345883516165,8.999231576919556,3.4389142990112305
18,1.2890071800121894,1.1998133292564979,-0.5003311840387491,-0.4961956510177025,9.002391338348389,3.4184625148773193
19,1.3028009969454546,1.2320313545373769,-0.5010584443807602,-0.4962705717636989,9.138346433639526,3.4900999069213867
