epoch, train_ts_loss, test_ts_loss, train_df_loss, test_df_loss, forward_time, backward_time
0,0.6118124780746607,0.5751693065349872,-0.047011556247105964,-0.042683237160627656,5.348674535751343,2.4983716011047363
1,0.5055911672803072,0.44695062132982105,-0.12244462587225896,-0.1919469409264051,5.320181369781494,2.509589433670044
2,0.3978759159262364,0.3190511671396402,-0.2594996068913203,-0.2969848903325888,5.378269910812378,2.5171821117401123
3,0.3420558823988988,0.3049014669198256,-0.34618129008091414,-0.374251127243042,5.485067844390869,2.5497334003448486
4,0.34822026124367345,0.32558955825292146,-0.4053386552975728,-0.42260565207554746,5.576810359954834,2.5111162662506104
5,0.413574460034187,0.40925203607632565,-0.4460308081828631,-0.45690730672616225,5.409095287322998,2.5036704540252686
6,0.5084683321989499,0.5249699445871207,-0.47234727384952396,-0.4781136902479025,5.402702808380127,2.4892094135284424
7,0.6178293285461572,0.599629452595344,-0.48667716349546725,-0.48837037269885725,5.519623517990112,2.5636086463928223
8,0.7235719252091187,0.7009092431802016,-0.49391631380869794,-0.49456797196314883,5.498398303985596,2.4830048084259033
9,0.8055259734392166,0.7542365376765912,-0.4984916729422716,-0.4971433717470903,5.928854465484619,2.4751834869384766
10,0.8670342633357415,0.8008348483305711,-0.49996781234557813,-0.4975440066594344,5.397892475128174,2.456751585006714
11,0.9123173493605393,0.8768560519585242,-0.500629223883152,-0.49875704829509443,5.4098124504089355,2.7424135208129883
12,0.9516970022366598,0.9001618302785434,-0.5003213154581877,-0.4988922912340898,5.418156862258911,2.46640682220459
13,0.9761084730808551,0.8711060514816871,-0.5007163039766825,-0.4991004765033722,5.496391534805298,2.465574264526367
14,0.9974089299256985,0.9210021404119638,-0.5013831653274022,-0.4991315488631909,5.379950523376465,2.4547386169433594
15,1.0181319255095262,0.9242217861689054,-0.5005749888145007,-0.4991777287079738,5.589324712753296,2.595531463623047
16,1.032164338689584,0.9496760047399081,-0.5016254094930795,-0.49947555707051206,5.38103985786438,2.4500646591186523
17,1.0463571800635412,0.9869323647939242,-0.5003003220145519,-0.4996707026775067,5.459028244018555,2.4744303226470947
18,1.0611234903335571,0.9797060764752902,-0.5001721978187561,-0.5000725319752326,5.372985124588013,2.4518871307373047
19,1.0711314678192139,0.9747284375704252,-0.5001122911389058,-0.4997255274882683,5.607093811035156,2.4634315967559814
