epoch, train_ts_loss, test_ts_loss, train_df_loss, test_df_loss, forward_time, backward_time
0,0.543346100128614,0.5123524803381699,-0.07322079745622781,-0.0682401920740421,16.05165433883667,5.820420503616333
1,0.43869402546149033,0.34035359896146333,-0.11176297928278263,-0.15533023041028243,15.833540916442871,5.921303749084473
2,0.3015155471288241,0.25542302429676056,-0.21447141726429647,-0.26096948752036464,16.1462345123291,5.905486822128296
3,0.30504060135437894,0.32543644996789783,-0.3283998708312328,-0.36763850771463835,16.665740489959717,6.0073606967926025
4,0.444875846688564,0.5045252602833968,-0.4173621925023886,-0.4380522049390353,17.341869115829468,5.874756574630737
5,0.6326728658034251,0.6606671855999873,-0.4628841269474763,-0.4676079520812401,17.488555669784546,5.986156940460205
6,0.8033514045752012,0.8031759078686054,-0.4831327463571842,-0.4824622731942397,17.604517221450806,5.798718690872192
7,0.9384518300111477,0.9289357112004206,-0.4914685000593846,-0.4894747596520644,17.44231605529785,5.783849716186523
8,1.0384107484267309,0.9903871141947233,-0.4947478874371602,-0.492098148052509,17.229670763015747,5.824857234954834
9,1.1137663080142095,1.0918496480354896,-0.49603580167660344,-0.4942275148171645,17.361565828323364,5.829854965209961
10,1.1756043846790607,1.1221498067562397,-0.49687548669484943,-0.4950352104810568,16.958104848861694,5.756964921951294
11,1.2251996168723474,1.1629008650779724,-0.4977030261204793,-0.4955791739317087,16.787175178527832,5.850422620773315
12,1.2644541561603546,1.2016939291587243,-0.49810371032127965,-0.49613689000789934,16.791406631469727,5.815232753753662
13,1.300663920549246,1.224162716131944,-0.49836009167707884,-0.49645736584296596,16.573173761367798,5.684398889541626
14,1.3320597754074976,1.2407141557106605,-0.49836727117116636,-0.49691316256156337,16.633816957473755,5.688167572021484
15,1.360915014377007,1.2515052465292125,-0.4985026465012477,-0.49693522545007557,16.627294063568115,5.710783958435059
16,1.382580463702862,1.3024396437865038,-0.4986390345371686,-0.4973573455443749,16.41655206680298,5.665440082550049
17,1.4042602708706489,1.2999901129649236,-0.4988842142316011,-0.49727739508335406,16.63515019416809,5.806454181671143
18,1.422039419412613,1.2978397699502797,-0.49870984944013447,-0.49733965671979463,16.490501642227173,5.8026442527771
19,1.4412294053114378,1.361663818359375,-0.49863968846889645,-0.49752620779550993,16.423325300216675,5.641573905944824
