epoch, train_ts_loss, test_ts_loss, train_df_loss, test_df_loss, forward_time, backward_time
0,0.4993979736016347,0.4844145935315352,-0.07830507995990607,-0.07415973567045651,14.009603500366211,1.3331427574157715
1,1.150449079962877,2.715210951291598,-0.3936174731128491,-0.4998584733559535,14.847576141357422,1.1988098621368408
2,4.4666062272512,6.217338195213904,-0.5006246039500604,-0.49990562292245716,16.945355653762817,2.034346103668213
3,9.932174792656532,13.52770709991455,-0.5007230341434479,-0.49993687638869655,17.931929111480713,3.1241798400878906
4,21.93191979481624,28.002022523146408,-0.5005604263681632,-0.49985824410731977,19.56294298171997,3.2288219928741455
5,45.82408787653996,57.91141568697416,-0.5004904287365767,-0.4999114664701315,21.31964874267578,3.3513379096984863
6,77.45424402677097,84.29730576735277,-0.5006175711750984,-0.4999001897298373,22.639546394348145,3.3275463581085205
7,89.16245431166429,89.00173891507663,-0.5006504173462207,-0.49982038828042835,22.048043251037598,3.1629815101623535
8,90.05819144615761,89.23047872690054,-0.5004695304311239,-0.49980619091254014,22.075852155685425,3.171971559524536
9,90.2253812643198,89.5044455895057,-0.5005161378246087,-0.49983965204312253,22.021149158477783,3.1567223072052
10,90.2669241978572,89.61962245060847,-0.5005500763654709,-0.49989453187355626,22.04153037071228,3.2312028408050537
11,90.28165435791016,89.65204796424278,-0.5006333079475623,-0.49985963335404027,22.089236974716187,3.3105673789978027
12,90.2983100597675,89.7497317974384,-0.5003470830046214,-0.4998910151995145,22.01890778541565,3.1720123291015625
13,90.29762693551871,89.84544196495644,-0.5005046220926138,-0.4999301525262686,22.038118362426758,3.226492166519165
14,90.30623582693246,89.8250955434946,-0.5003250585152552,-0.49998273299290585,22.06009793281555,3.1418404579162598
15,90.3155947465163,89.82806103046124,-0.5000641242815898,-0.49984158690159136,22.088498830795288,3.1423165798187256
16,90.31073218125563,89.89529360257663,-0.5002944148503817,-0.4999220508795518,21.980069637298584,3.150865077972412
17,90.31152710547813,89.96489422137921,-0.5005264442700607,-0.49991326148693377,22.058549880981445,3.146031618118286
18,90.31136454068698,89.9654300396259,-0.5005978580850822,-0.4998537003993988,21.9841411113739,3.1418447494506836
19,90.31845371539777,89.9819095318134,-0.5003748100537521,-0.49986462180431074,22.034847021102905,3.1602816581726074
