epoch, train_ts_loss, test_ts_loss, train_df_loss, test_df_loss, forward_time, backward_time
0,0.5069444122222754,0.4930110780092386,-0.08161656529857562,-0.07585453012814888,16.573434352874756,1.307748556137085
1,1.1698836105374188,2.8615079476283145,-0.39314918563916135,-0.5009148235504444,17.266650676727295,1.3091535568237305
2,4.618160059818854,6.309403602893536,-0.5003912053429164,-0.5010905655530783,19.473538398742676,2.099951982498169
3,10.22511112689972,14.111968553983248,-0.5005364097081698,-0.5009578007918137,20.65806531906128,3.238431215286255
4,22.141421152995182,30.468460229726936,-0.5004410938574717,-0.501041095990401,21.759727001190186,3.305492877960205
5,45.83131760817308,55.87723599947416,-0.5003321210925396,-0.500949855034168,24.102872371673584,3.389122247695923
6,77.57245496603159,83.22105877216046,-0.5000977716766871,-0.5009764249508197,25.054073810577393,3.384958267211914
7,89.05151822016789,88.30941009521484,-0.5002665376433959,-0.5010018234069531,24.87547779083252,3.2785608768463135
8,90.05853198124812,89.432495704064,-0.5004677491692396,-0.500849588559224,24.213942527770996,3.2314951419830322
9,90.2114739051232,89.49190697303185,-0.5002699213532301,-0.5009731100155757,24.62767457962036,3.2593493461608887
10,90.25739420377292,89.61072951096754,-0.5003674660737698,-0.5009847375062796,24.18166446685791,3.260316848754883
11,90.28325227590707,89.65448408860426,-0.5005020470573351,-0.500836736880816,24.747886657714844,3.2516391277313232
12,90.29102560190054,89.78728954608624,-0.5004287803402314,-0.5009634173833407,23.725942373275757,3.2276759147644043
13,90.29499186002292,89.7326161311223,-0.5004233007247632,-0.500851537172611,24.21146869659424,3.3857929706573486
14,90.30954698415903,89.89650256817157,-0.499973832987822,-0.5009634678180401,23.738224506378174,3.310195207595825
15,90.30050879258376,89.8295417198768,-0.50059968405045,-0.5010870144917414,24.10351586341858,3.2359890937805176
16,90.31585972125714,89.81668149507962,-0.5002486298863704,-0.5009181751654699,23.694082736968994,3.218809127807617
17,90.31310140169583,89.93431149996243,-0.500347705414662,-0.501121094593635,24.042185306549072,3.243638038635254
18,90.31241710369403,89.89818103496845,-0.5005179832761104,-0.500915316435007,24.10700798034668,3.391503095626831
19,90.31335874704214,89.95447775033804,-0.5004466044215056,-0.501024447954618,24.302639484405518,3.4034926891326904
