epoch, train_ts_loss, test_ts_loss, train_df_loss, test_df_loss, forward_time, backward_time
0,0.6118124780746607,0.5751693065349872,-0.04701787684685909,-0.042683237160627656,10.561681509017944,0.1617598533630371
1,0.4972688383780993,0.4383066755074721,-0.12248650873796298,-0.19255194984949553,10.36520004272461,0.11949706077575684
2,0.38631692356788194,0.31274039011735183,-0.26287205717884576,-0.3044049052091745,10.287554025650024,0.11575150489807129
3,0.3386329641708961,0.30411192087026745,-0.3571527457007995,-0.38951143393149745,10.319306373596191,0.1723470687866211
4,0.3805145959441478,0.3914430003899794,-0.42477172498519605,-0.4456166074826167,10.262695789337158,0.11535930633544922
5,0.542175799035109,0.5876294420315669,-0.4693055714552219,-0.48175737491020787,10.298316717147827,0.11785054206848145
6,0.802115953885592,0.8993041102702801,-0.4941017988782663,-0.4975910759889163,10.266151189804077,0.11423802375793457
7,1.1278944462537766,1.1159227719673743,-0.50027862821634,-0.4994709102007059,10.341876745223999,0.11548399925231934
8,1.380353677731294,1.3399163026076097,-0.5002029217206515,-0.4997509695016421,10.296383619308472,0.11382102966308594
9,1.6066125654257262,1.5514897658274724,-0.5012422416072625,-0.500028119637416,10.26166582107544,0.1148672103881836
10,1.8673575680989485,1.78843747652494,-0.5013682148777522,-0.4993782020532168,10.28191089630127,0.11468672752380371
11,2.170364897984725,2.196960137440608,-0.501493921646705,-0.4999011686215034,10.2342848777771,0.1143348217010498
12,2.5465272894272437,2.6436887704409084,-0.5008200470071572,-0.4996413771922772,10.271438360214233,0.11987471580505371
13,2.984106591114631,3.0095356427706204,-0.5010322481393814,-0.49987537356523365,10.321542024612427,0.1790297031402588
14,3.5071813510014462,3.520096173653236,-0.501588662656454,-0.49967827705236584,10.247583389282227,0.11347723007202148
15,4.146061305816357,4.347590263073261,-0.5007409545091482,-0.4996354855023898,10.274153232574463,0.12309980392456055
16,4.878907001935518,4.762182327417227,-0.5017786587660129,-0.4997962415218353,10.064148664474487,0.11400961875915527
17,5.775358961178706,6.038898981534517,-0.5004015862941742,-0.49996795333348787,10.055394649505615,0.10812091827392578
18,6.837218825633709,7.563323901249812,-0.5002444598537225,-0.5003387400737176,10.136836051940918,0.25017333030700684
19,8.161623670504643,8.921366251431978,-0.5001582990472133,-0.5000285185300387,10.085821151733398,0.11349630355834961
