epoch, train_ts_loss, test_ts_loss, train_df_loss, test_df_loss, forward_time, backward_time
0,0.4911098869947287,0.46826742933346677,-0.08400856818144138,-0.0767209203197406,10.262219905853271,0.21064114570617676
1,0.38835261303644913,0.340996299798672,-0.16671092922870928,-0.23339901520655706,10.137004613876343,0.11338996887207031
2,0.30366636182253176,0.25907486104048216,-0.30643525834266955,-0.3437236478695503,10.235286474227905,0.13117122650146484
3,0.29989928522935283,0.28615248661774856,-0.39801112906290936,-0.4174654437945439,10.119386196136475,0.12121701240539551
4,0.3975443822833208,0.4499595371576456,-0.4560493781016423,-0.46684264219724214,10.2589750289917,0.19353294372558594
5,0.6067071230365679,0.7075061202049255,-0.4872223981297933,-0.4896980684537154,10.182760000228882,0.10964751243591309
6,0.9050969584630086,1.0273285783254182,-0.5018977878185419,-0.49569360797221845,10.086350679397583,0.10944533348083496
7,1.1979499115393712,1.2355985641479492,-0.5032829286960455,-0.49661335807580215,10.123464107513428,0.11024284362792969
8,1.4160430683539464,1.4782247910132775,-0.503197620694454,-0.4966334906908182,10.138116836547852,0.1086573600769043
9,1.6481301486492157,1.6748090432240412,-0.5039103088470606,-0.49652215150686413,10.053366661071777,0.10849404335021973
10,1.9229450455078712,1.95410889845628,-0.5032250250761325,-0.4969862882907574,10.152403116226196,0.2675819396972656
11,2.247121744430982,2.251635276354276,-0.5034086073820407,-0.4964964527350206,10.08077597618103,0.10941219329833984
12,2.639078277807969,2.6838925251593957,-0.5037105610737433,-0.496663185266348,10.110787630081177,0.1113424301147461
13,3.1075990154192996,3.082208046546349,-0.5034061446785927,-0.49653293307010943,10.191165924072266,0.2418222427368164
14,3.669341499988849,3.746964693069458,-0.5037090589220707,-0.4965376074497516,10.083391427993774,0.11446189880371094
15,4.356361567974091,4.439815576259907,-0.5030111005673041,-0.49639269709587097,10.075022459030151,0.11107039451599121
16,5.152585946596586,5.44728132394644,-0.5031667867532144,-0.4967121069247906,10.104577541351318,0.11872982978820801
17,6.091369454677288,5.864480385413537,-0.5040033511244334,-0.49620790435717654,10.13094425201416,0.10976481437683105
18,7.27875777391287,7.827297650850737,-0.5021905537981254,-0.49659039424015927,10.232747554779053,0.17450594902038574
19,8.645671578554007,8.451251029968262,-0.5035235778643534,-0.49662582920147824,10.081230878829956,0.11049842834472656
